암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzQxIyQxIyQ3IyQ4OSQyNjEyMjIjNjEjJDEjJDgjJDgz,아산서울내과의원,의원,서울특별시,강서구,"서울특별시 강서구 공항대로41길 56, 진아빌딩 2층 (등촌동)",내과,2022-09-21
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxOTYxIzIxIyQyIyQ1IyQwMCQzNjE4MzIjNDEjJDEjJDQjJDgz,아산서울치과의원,치과의원,충청남도,아산시,"충청남도 아산시 시민로 364-33, 3층 (온천동)",치과,2008-11-12
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ4MiQzNjE0ODEjNjEjJDEjJDQjJDgz,아산선가정의학과의원,의원,서울특별시,송파구,"서울특별시 송파구 거마로 28, 301호 (거여동)",가정의학과,2023-01-30
JDQ4MTg4MSM1MSMkMSMkMCMkNzIkMzgxNzAyIzUxIyQxIyQ1IyQwMyQyNjEyMjIjODEjJDEjJDIjJDgz,아산설치과의원,치과의원,서울특별시,중구,"서울특별시 중구 퇴계로 61, 5층 (남창동, 금오빌딩)",치과,1996-04-16
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQxIyQ2MiQyNjEyMjIjODEjJDEjJDIjJDgz,아산성심약국,약국,충청남도,아산시,"충청남도 아산시 온천대로 1483, 1층 (온천동)",해당사항없음,2010-07-05
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ4OSQzNjEwMDIjNDEjJDEjJDgjJDgz,아산센트럴의원,의원,서울특별시,중랑구,"서울특별시 중랑구 동일로92길 40, 2층 201,206,207호 (면목동, 사가정 센트럴 아이파크)",일반의,2020-12-21
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQyIyQxIyQwMCQ0NjEwMDIjODEjJDEjJDYjJDgz,아산소리이비인후과의원,의원,경기도,평택시,"경기도 평택시 지제동삭2로 181-24, 201호 일부, 203호, 204호 (동삭동)",이비인후과,2023-02-17
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,아산소아청소년과의원,의원,경기도,김포시,"경기도 김포시 양촌읍 양곡2로 58, 우평프라자 203~4호",소아청소년과,2020-06-16
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ3OSQyNjEyMjIjNTEjJDEjJDYjJDgz,아산수내과의원,의원,서울특별시,강동구,"서울특별시 강동구 올림픽로 660 (천호동, 203,205,206호)",내과,2007-03-16
JDU4MTI3MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNjEjJDEjJDAjJDgz,아산수내과의원,의원,경기도,광주시,"경기도 광주시 태봉로 226-18, 201,202,203호 (고산동)",내과,2025-06-13
JDQ4MTYyMiM4MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ5MiQzNjEyMjIjNTEjJDEjJDIjJDgz,아산수의원,의원,제주특별자치도,서귀포시,"제주특별자치도 서귀포시 대정읍 에듀시티로239번길 16, 201호",일반의,2022-03-17
JDQ4MTYyMiM2MSMkMSMkMiMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,아산시보건소,보건소,충청남도,아산시,충청남도 아산시 번영로224번길 20 (모종동),해당사항없음,1953-08-13
